order_id,order_date,ship_date,ship_mode,shipping_cost,order_priority,customer_id,segment,country,city,state,region,product_id,category,sub_category,product_name,sales,quantity,discount,profit,shipping_delay
ORD00001,2022-06-30,2022-07-03,Same Day,26.89,Critical,CUST0141,Corporate,United States,San Jose,California,West,PROD0007,Office Supplies,Paper,Paper Model 699,1546.21,10,0,386.55,3
ORD00002,2021-11-15,2021-11-20,Standard Class,24.3,Critical,CUST0048,Home Office,United States,San Diego,California,West,PROD0021,Office Supplies,Storage,Storage Model 605,1456.46,5,0.3,189.34,5
ORD00003,2021-08-29,2021-09-03,Second Class,34.51,Critical,CUST0004,Consumer,United States,New York,New York,East,PROD0136,Technology,Phones,Phones Model 763,465.47,8,0.2,41.89,5
ORD00004,2022-08-17,2022-08-18,Second Class,31.95,Low,CUST0490,Home Office,United States,Phoenix,Arizona,West,PROD0064,Office Supplies,Paper,Paper Model 470,950.04,10,0,247.01,1
ORD00005,2022-08-18,2022-08-23,Standard Class,11.65,Critical,CUST0083,Consumer,United States,Phoenix,Arizona,West,PROD0021,Technology,Phones,Phones Model 197,1601.01,7,0.3,464.29,5
ORD00006,2020-05-18,2020-05-25,Same Day,29.37,High,CUST0179,Corporate,United States,Houston,Texas,South,PROD0013,Furniture,Furnishings,Furnishings Model 874,1541.17,9,0.1,369.88,7
ORD00007,2021-05-15,2021-05-23,Second Class,42.05,Critical,CUST0444,Home Office,United States,New York,New York,East,PROD0020,Furniture,Furnishings,Furnishings Model 795,679.54,9,0.3,129.11,8
ORD00008,2020-09-22,2020-10-02,First Class,49.42,Medium,CUST0361,Home Office,United States,San Antonio,Texas,South,PROD0127,Furniture,Bookcases,Bookcases Model 996,177.88,6,0,19.57,10
ORD00009,2020-01-21,2020-01-29,Second Class,29.5,Low,CUST0005,Home Office,United States,New York,New York,East,PROD0165,Furniture,Tables,Tables Model 988,207.67,10,0,51.92,8
ORD00010,2022-04-04,2022-04-10,Same Day,35.49,Medium,CUST0227,Consumer,United States,San Antonio,Texas,South,PROD0128,Furniture,Furnishings,Furnishings Model 916,1472.94,1,0.3,279.86,6
